,population,inf_factor,death_factor,abbreviation
Groningen,585866,1.093,0.992,GR
Friesland,649957,0.728,1.103,FR
Drenthe,493682,0.625,1.218,DR
Overijssel,1162406,0.943,0.966,OV
Flevoland,423021,0.89,0.634,FL
Gelderland,2085952,0.961,1.024,GD
Utrecht,1354834,1.213,0.814,UT
Noord-Holland,2879527,1.157,0.877,NH
Zuid-Holland,3708696,1.339,0.883,ZH
Zeeland,383488,0.642,1.259,ZL
Noord-Brabant,2562955,0.978,1.018,NB
Limburg,1117201,0.894,1.259,LB
